Seq_ID                    	HCA    	Disord 	Aggreg 	HCA_seq
cds-NP_416603.1           	2.060  	0.037  	0.156  	.....10011........111100011011000101.10010101....1010010101010100101.......10001100110001....11011........111011.......110100100010001100101....111100101...100111011001001................11001101.................101000100100010001...11101......................11001.........110010001.1000111000100111.....................	
cds-NP_416604.1           	2.580  	0.024  	0.020  	.......1100100011......111010001000100011...........1001001001010001001...........1000100110101.....1000111.......1110001101...1000101.....1111001011....10100011...1100100101011011.............10001....10001010001.111100101......10101001000111111..	
cds-NP_416605.2           	3.390  	0.029  	0.257  	10101.....10011101011011011....10111000101001101101..10010101...10100101001000101001001....10101011...........11000101.....110001011...1000100011100101.....................100010011011........11100011100010011001.1110011........101011..............10101100010010011001....	
cds-NP_416606.1           	0.630  	0.045  	0.049  	100100101..........10001001001001010110011......1001101...110001001100101............110010001001010011100111............100100011..................................11010100111.....................................1010001001......10001.....110001.....1010001..10010011	
cds-NP_416607.1           	0.320  	0.042  	0.168  	101011.................1101100011001.......................100100011101001.......10001..............1010010100011001101...........1101001.............................11110001011..............1100110001010011001101....10010001011....................110011010001..	
cds-NP_416608.1           	3.230  	0.122  	0.111  	10001............100011010011.....10011001001000100110011000100011...........101110110011.	
cds-NP_416609.1           	3.340  	0.120  	0.420  	10010011............111001001.......1100111010001000111010001....1111101001110001.......1101100111100011111001.....11001........................................10001....1001011110100011.....1011111101001010001110101010101101010001010010001001001.....11001110110111010011011.	
cds-NP_416610.4           	1.120  	0.000  	0.241  	101000111001111..................1001010011001001..............10100101001........10110001111......11001000111..	
cds-NP_416611.1           	0.440  	0.000  	0.186  	101011111111111.101001100101000111000101....10010001..................111011000101010101..............100010101..................111001001............10111111....100110010001.....1101010101..10001....11101001....................111010011.........10111....................10111......101101......1001001..............10001111..............110101.	
cds-NP_416612.1           	1.180  	0.012  	0.090  	......100011011101001.....1000111001....100101.........1010111000100010111.......110001100101..........11010011....10101011010101...1100100011....100010011001110011001.........110100010110101....................11100010011001010011....1100101001011001011...........................11110001....10100101......10101......100111............100101...............11000101010011011000110001101010001000100101...................101010011......10100101....100100011.............110100110001.....100010001...10010100110011........1010100010010101...............1011101.1010001..........................10001.....1010101....................10010001............1000110100010100010001011....100011............1111001.......11101..................1000111101.......111001......1010101001........................10101.....10101010001.........	
cds-NP_416613.1           	0.200  	0.021  	0.134  	........101001010011011110111.....1111000111......111011.......110011................................101011..........111101101............1010100010111............100111...............1101001....1010100111.................101011.....110001	
cds-NP_416614.1           	1.360  	0.033  	0.183  	1000110001100111000110001....1010001.............10101.............1001000101000110101...100101011..................1011111............101001..........10001101.........110011101...	
cds-NP_416615.1           	1.080  	0.065  	0.151  	1001110011110101...........1010001....101011.......10010101.........1001000111........111001.	
cds-NP_416616.4           	2.100  	0.084  	0.125  	............100110001001....100010010010010110001010111.111000100100010001101.....101010001001001.....1001001101.............1010101......101100011.........................110001....10111................1101100011..10111101......101010001.1000111..............111100101.1101100101011001..............1000100011001.101010001..............10011001000100011100011...101001	
cds-NP_416617.1           	1.180  	0.030  	0.050  	10010001110101......101001100100011101001....10111......................11001.......10010101001..........100111001..........10011...........110001........100010110001........................11101..10011001.....1000100010011000100101.....110101......111111...10110010011......1010011.......11011000111100111..............111001101.................11001....10111000100010010101001100100011001101......11000100110001....11001.....110001....1000100110100100011.................1001101010110111011.............11000101001...110001..10011001010010011......................10001010010010101011...........11010101......110010001...........111001....10101000111.........................	
cds-YP_009518799.1        	1.320  	0.026  	0.073  	100111.................10101001.....................1011000100011.............10001010010011......................1100010111...110001..................10010101.........101001010100010001001001........11011001010100101000110011....1010001110100101010100011111.......11001001.	
cds-NP_416621.1           	0.550  	0.011  	0.110  	10001........10101................10110001100100011........11101001010100010001011...........1001011.......110011....101000111000110011....1110101....10101....10010101000101....1100100011001.........110111.....1000110101.........11011......1001001100011.............1010010011...................10011101....11001111.......10010010001....1001001101..........................1100110011.....100011.........110011......................................................................10001......11100101000111110111..........1110101100010011001................10011011.............1101111001...101011101...........11101101001..11101.........11101........10011001.....100011101.......................11010111......110010001....110010011........................................1011001101.....110010010011....100101011001..........101101011........10001101.........1001011011000101101001...............11011..........100011..........10101....101010001..............................1001001......100011..10001.....10100100111...10011000111011......11100101...........................101000100010011001011................................100110101001000100011101001011101...100101....1101001011.....101001011010001........	
cds-YP_588459.1           	3.360  	0.048  	0.152  	111000110110101......10101010010011000110100101..............11000111100011............11011000100110001.	
cds-NP_416623.2           	-0.330 	0.058  	0.146  	..............1110001001...........10101..............1000111....10011101.................1100110001..................10101010111.............11001....1101001....1010011101100011..............................100100010001010011.11010001011....................110111001001.........10010011.....10100010100111.........1101100011.........100110001.......10011.......	
cds-NP_416624.1           	0.690  	0.050  	0.083  	....11101......100110011...............10001001110001.101101101..................................11101..................................110011............10011001...............1100110101......11111001....10011001...........1000100111.......10110011001...11001110101......110011001................100101001......100011001000110001.....1010011......111011001....................10101..........101001.........1100101101................................11000110001.......100011....10010011....1001001000110010111.....10010001011101101001001....11000110010001111..........100010010011011001000101..1010001011.................1001101..........1011001........1001101..........110010001001....11001..10001011.......10001100101001.100101...................100100101101	
cds-NP_416625.1           	2.060  	0.053  	0.103  	10010011....10010111.................100010111.........................110010011...11001....1101010011001011001.....110011................111011001100100010001001..........100010100010001001.............10001......1011111.....110011000110011101..1000110100011010001...101110101.....100010100011......111110011......1100010011000101101001...............11010001001....100110001..	
cds-YP_009518800.1        	0.620  	0.028  	0.098  	.......................110001001..............1100100010001.................1100011111010011...............111001001..........110001010111...........1001011....1010010110001100111010011........10011101...................10011001000111001...110100010001.....10101100010010001001...........110010010001010001.............100110001.....10010110101011001001010111.......11010001................................................10011..................11010011..........1001001111.100110101......100011.......110101.......1010010011......11110011011000101......................................1110100111011000101.........	
cds-NP_416627.2           	2.370  	0.033  	0.144  	10010011011100111101001........10001....1010111.............101001..............100010010010001010001....101010010100100100101........1010010111.........	
cds-NP_416628.1           	1.450  	0.038  	0.147  	11000110010111......1101101001......10111.............111001100111.................1000111001010101....11011....10101..10011.......1001000110111001.........	
cds-NP_416629.4           	3.100  	0.000  	0.109  	1101111.........10111.....10110010001001001001...11110101..1001011011......1111100100101001....10111.......10001001.............................111101001011000100111........100101001.....11010001110100100101.......111000101.100011001000101	
cds-NP_416630.1           	3.070  	0.012  	0.198  	110101111110011111110111........11010101...1111111011111001101010001.....100110011...11001101000100101001001011100110011001100111................1011001101111101...10001011001...11100010001110111....110010001.............11000100100101001110010100101.....1101001..........1000101001..............10101...101000111........11001011.....11001000100010011000110001...........10110001...1110010010011.........1101100110001.....11010001001001101....10001010101................110001.......................11101...............101011000100010001010101....10010101......	
cds-NP_416631.1           	1.600  	0.033  	0.193  	101101001011101..1010010001011................100100100110001010010111....1010001......11011....10010011...........1000111.1000101....10011011001110110111...........1110101.....1110011.....1010110001001.........11111...........................	
cds-YP_588460.1           	7.740  	0.000  	0.429  	10100101101111101001001110010111...	
cds-NP_416632.1           	4.320  	0.000  	0.407  	.......111110111011111.....110011............1001010011110100110111...........10001..110010010001..10110101.110101...1101111011.1100010010010001001000101.....100101.....11100100011101....10001........11101001000111000111010011000110011001.....	
cds-NP_416633.1           	3.030  	0.000  	0.062  	11010010011.....10010101....10111..........10110011..................110100010101001011..1010001001..........1000100110110100010001...........1010001.......................100010010011000111100010001010001111.....................110011....101011010010011..........1000101000101110001011.........10010100111..	
cds-NP_416634.1           	4.140  	0.000  	0.449  	101101..110111110010001.................11011...11111010101100111......1101110011111111....................10001110001011010001001....1101110101011.111110001001011001.....110001000101110011..11101.1011111.......11011011001..10110111..10011001.1100101........1101111011.110011101001..................110101.....11100101111001010110011....1001110011000101111011.111101100011011101101....	
cds-NP_416635.1           	0.080  	0.016  	0.125  	..11011000111100101.......1010001.....1100111011.......100101....110001.................................1001001..................101010001.....10010010011.......................100010101..........................1000101.....100101001..............1100011001..10011..11001....1001000101001....100011.......	
cds-NP_416636.1           	0.740  	0.031  	0.118  	101110101010101...100011............11001100101000100101101........10011....10011001....1001000110100101.11101011........10101000101001001001001......10101.......................11000100011001........1011001001001001.....100101....110011..10001......11101001.........111001100010100101.....10011...........1010100010101000110011........101001......11010101011...................................11110001001....................11001.........10110010001...................11011001000101.......110001.......111011........................11001......111111................110011........100111001..................111001.............100011.........10101010010100101..........1000101..........1101110010001...100100100101...........101001011000101......10111...............	
cds-NP_416637.1           	0.590  	0.067  	0.102  	...........110010011..............10001.......10111...110110110011.........................1000111100101001011.............11010001.........1100011000110011.............1001011001.....10110010101......11001...................1011001001....................100010110101001.................1100100011001001.10001100011010001....1111001......11101......11001011........10010011.......1001000100011101..........111011..................11001......101001....10011010101......11001...100011001110011111100011100010100100011011............10011.....10011..........................	
cds-NP_416638.4           	-0.480 	0.029  	0.103  	...10101101011101..........................11101................100100110011110001.100010101.....10011001010001....1111011.........10001...10011001...................101001.....100111......11001........................11100010101...........11110011....101111001001001.....10011.................................	
cds-NP_416639.2           	5.280  	0.031  	0.513  	10011011................100010001111001.111011....10101....11010110010101111011100101100111110001.....10011110011...1110011011.111110110010111001111101..................10101111011101011110101011	
cds-NP_416640.2           	3.030  	0.031  	0.344  	10100110010100111001.....1011001..........11110101001100011111000100011001..................1111100011101011.................101100101011100101........11001000100111111111111010111............	
cds-NP_416641.1           	0.700  	0.067  	0.142  	1001011......100010111....1010101.............110001000110101001....10100110010010111..........11010100100110101000111001.............1101001..................1001000101011000111001...................................100111111...........111000111........	
cds-YP_002791249.1        	9.220  	0.000  	0.667  	101111011111110111100110111	
cds-NP_416645.1           	1.670  	0.000  	0.016  	10111..1001100110011001001011100110110011.10110011.............1101011001...........10100101010101...........................10001.....101010101......1010001.......................101001001000101................110100100111.........1001101.........11011001001.......110100100110110001.....11001011.....1000100101001	
cds-NP_416646.1           	5.080  	0.061  	0.485  	10001011101100111110111001110011.......1101111111101011........1111101101111.1010110110110001..11101010011111110100011..............	
cds-NP_416647.1           	4.100  	0.000  	0.398  	110011101.1011111....1000101.....111011111.1111001010011....110011...110101.1100100100010011011110011011....10111.....100011.......101010001001..10011111101100110001100101.....................100101....1001011110110011......111011.	
cds-NP_416648.1           	1.490  	0.020  	0.075  	....1000100100010001..1100011......................101011.10001....1001010010001000111000101100010001......100011.....10010101..100100110010001010101.......10011........10100111...................................10101....110001............100011110100101..100011.................10010100100111.	
cds-NP_416649.1           	3.340  	0.059  	0.209  	11001110111110111101101001101....111001001.10010111....1100011001101010001001....101111............101000110001....111010010010011..........11110001010001110101010001101.....1101010010001001001111...........................................	
cds-NP_416650.1           	4.900  	0.000  	0.456  	101001111011111.11110001001....10001................11101110110101101011111111.	
cds-NP_416651.1           	0.490  	0.015  	0.107  	.....11001...1001101.............10001........1100111001............100110011....110001........1010010011001...............1001011......1000101....101011........110001........1100010010010101010001000101001......1110101.............10101011.......................10101000101101001011....................101011001.........10100101000101....11101.....1001001...............................11101.........10011000101	
cds-NP_416652.4           	2.890  	0.015  	0.100  	110001010110101..........10011011000100010011100101110001...10011.....1101001001....100010010010001...1110011......10010011......11010101.......10001.....110011001.......11001...100110101.........100100100100101000101...................101011001..........1001001001.............10100011010101100100010011....1001001101..........10001111..10100110100111011......................11011110011.10110100101...........	
cds-NP_416653.1           	5.240  	0.000  	0.512  	........11011....11111111101111....11011010011....10111010100111...........101001100011001..............1011111110100110110011101101..1100100111110100111011....10010001001000110100101011011011010111111....10001101........100101010111110100111010011...........1011101001001110010100010011011001111011010101101..1101110001111010100101....	
cds-NP_416654.1           	2.140  	0.040  	0.134  	...........111010010001..10010010101....10011.........110111011......................10001011000101110001100111001..................110010101.....100101001011010001010001111...........10011011001....10111100010011011001011..........1001010011011100010001.........11101001001....10010101....11010011......11001101.......................10001011........11011010100110010010001011..........11100101...................11100111..............1010001011011001......11110001..11010001111000110011.........110100101	
cds-NP_416655.1           	-0.170 	0.045  	0.148  	10001101001100111..........10101101000110110001.........10111.............10111000100101011..............................1001000111........11000110001.............101111..............111001.........10100011........10011.......10111.....101001001.........1101001...........100011..........1010001...........1010001101................	
cds-NP_416656.1           	0.580  	0.072  	0.101  	1101001.....1010010011.............1100100101........1000100010111101000110011001011......11110001.........10111000100111.........10011001..11110011..10001111001....1000111.........................11001.........................110110001010011010001................10101101001.........100101.1001001000101..........................................	
cds-NP_416657.1           	5.530  	0.016  	0.483  	1000101011001011011110100101.........11001.....101011011001011011011100010111.....1100010111110110011110001110101101111011.....1001100011111101011111011...............1110011010001001......10001101000101010011110001100011000101001....111101010101..10101010101011011101.......10010100111011..100101110101100101001110011100111010111010010110111.1110011101111011....1011100101............	
cds-NP_416658.1           	2.200  	0.104  	0.095  	.........11000110001..................11000100110110101...........100111001100101001..10110001010011010010100010001101.............11010010011011.....10001000111010011....101010010111................10011.........11001....	
cds-NP_416659.1           	0.490  	0.040  	0.122  	........110010001..........1010111..........1111100101.............10001011111................................100010110110001..11000101000101..........11101.....1001001..........1010010011......11010010111...................110001...............10101...100011110011000101000111.	
cds-NP_416660.1           	0.630  	0.118  	0.086  	......110101110010101..................10001...................10010011001..............101001000101111................101011.1001001011...10011....10011011000100010001010001.........100011....11001101001001...............................10101.......1000101..................................10110001.................1000101.10010011010001....1000101............101110001011..101000101.....10001.............10100010001................10001011............10101111....1100100010110001000101...........1001101..........1101101....1001000101.1000101010101..............................10100101110001.........................1010001010001101..................111010101	
cds-NP_416661.1           	3.720  	0.033  	0.462  	............10001....1011010001000111..............1101111011111110010010011.100010010001100010101010111010101010110001110111.....1110011101111101101001....11101101001111111011111011.......100101....1000100110101110101.......................10011101111111011110111......11000100101..10111..........11001110011............1110101......11001.........11000110011110011....111111....10011011010100101000111.........100011....110111111101000100110001010010001101.111111101011....110100101......	
cds-NP_416662.1           	2.350  	0.017  	0.055  	101010010110011.........11101....10001001000101011001000111...........10110001010011..............100111..110010001....10101.....110011010101011.............110001111...........101001................1101111001..1010101.....10001000101011000110001....100101....11001101......100010011011.......	
cds-NP_416663.1           	3.950  	0.014  	0.401  	100101......11011..10100110010110001.......1001010111011100011..11001000111000111010111101010100100101001110110100011101110001101.................................1010100111100101111.....110011....1011100010010011..............11001101111..111110001001..............110111111011001011...11011101001110101001010001001.......1110111101111....101110011.	
cds-NP_416664.1           	0.810  	0.021  	0.081  	10110001........................................1001000100101..........11101...10001......110010010010101101.............1100100010101.....10011.........101010010011001.....10111001001000101.....1000100100010101100101......10001...............10111.........111001...110001011..........	
cds-NP_416665.1           	0.620  	0.030  	0.144  	.......11011..........1001101....100011011................11111001010100100101................10001000101100010110110001100111.......101001101..........................11001................11100101....10111010001.111001001....10011001001......101110001.................10011111.................................110011101100101.....10101001........................	
cds-NP_416666.1           	4.480  	0.000  	0.430  	1011001101111101011101....10100100011101110011111....1100010101001101......1110011...10011....11101011..111100110111110110111011001100010100100110100111...........11001....110011001001....110100101.101110001101...1110011........10100101................1001010001001110110110110011001001101....100110111..101110101....100011000101001101101..............101101011010010010111001001.......100101001....1001100010011101.	
cds-NP_416667.1           	1.100  	0.022  	0.147  	.....11101.......10111......101101011.....1000110010110010101.11001...11000110001.......................101110011.............1001010101.......10011110001.....................1110001.11110101.........11001.........1100110101000100101.........110111.........1110101....1100011001011.......1010100011101100110011...	
cds-NP_416668.3           	1.940  	0.037  	0.137  	.....100111001.....11011000111.......11111......11001....1011011...111001011........100100111101.......1110001110011101....1001101.......11001001111................11010100111110011000111.............10010101.....10011.	
cds-NP_416669.1           	4.710  	0.000  	0.430  	1011001101111101011101....10100100011101010011111...........101001101......1110011...10111....11101011..111100110111110110111011001100010100100110100111...........11001....1100110010010001110100101.101110001101...1110011........10100101................1001010001001110110110110011001001101....100110111..101110101....100011000101001101101.........10100101101011010010010111001001.......100101001....1001100010011101.	
cds-NP_416670.1           	1.740  	0.019  	0.147  	100101..........10001.....1101000110001.........1010001.........101100110101....................................1000111001001011...............1010001001....10111.....1101010001100101...................1010101.....1000111010001000111..............100010001...............111001001.....1000101110001100010001001..	
cds-NP_416671.1           	1.930  	0.016  	0.118  	.....11111....101001.....................100010001011....1110010001100011.......111001111.......11011.....1110100101000100011...........11100101....10111............1001011010001001001.........100101.....10010011....10011101....111001.........10001101......1100100111001.10001010001001010101.....1010011011.......	
cds-NP_416672.1           	0.930  	0.021  	0.266  	10011110001.....1100011...................101110001..........1110010001..................................1101001...100011.............11101.....................111100010101001....................10001..........................100110010111.11100011101010101001.....10001101.....10111.1100110101.........11001101.....110011001100110011000101..............110011101011111...100110010011001.....111001100111001........10101011.......1001100011..101010011................11101111.................111100010001010100011.....111111......1101110110001100101011............	
cds-NP_416673.1           	1.530  	0.035  	0.135  	1000100101...1011011......................10100110010101010011.......10011001010001011.....10101......10010100101....100110001011001011110001........100110010001...........11001........................10011..........10011101....................1011001.....11001110111.......101000100101............1001100101....	
cds-NP_416674.1           	0.670  	0.043  	0.104  	110101001............100100011....1000110011........11000101..........11000101101..........10110101.......10110010011....10001........100111.......10100011010110001101001..........1000110001....101000111.......1000101...............1110101.....101100100111..............11011.........11000111............111001001000101001...........110110101..................100100010001....	
cds-NP_416675.1           	3.590  	0.013  	0.532  	...................11110110010001....101110001.....110111....1101110011............11111111011010110100011111110111001.......................11100110001010111...101010101010111100010111101111111..10001.................11111110111....111101.111100101...100111..........111001100010001110100100111100111....11110101100111011001011110011................1011100010011001101001111011111001111101001	
cds-YP_588461.1           	-2.870 	0.131  	0.071  	......10011.........................................11001..............1011101011...	
cds-NP_416676.4           	0.950  	0.079  	0.026  	......100011101000111100101..........1101010010001010001....11001010001101011......................10001111.......101101000110101...101011...................100011101.........10101..........	
cds-NP_416677.1           	1.880  	0.057  	0.133  	100100101.............1000110101001......1100011......101101011....11001.....11011........11110010011000100100110011...10110101....................11001...........111001..........101101001.....110001101.......10011000101...110011.......1101000101...10101..11011100011.....1010010110011.100101011.....110110110010010011....................1010010100100011001.........10101.........1100101.......101101010011011001............100010011........100110100110001.....110010001001101.....1100101	
cds-NP_416678.1           	0.000  	0.073  	0.067  	.....110011.......11011........101110010010100011.....11001...11111001.101010011....................11011.......11010001111...............10001.....................10011................10001101..................11000100101.....10001.....10010111....1100101101001..1001001101.....................................1001000110101....	
cds-NP_416679.4           	4.460  	0.030  	0.439  	11001..11110110101110111.1000111.10001111100011....1111101.....100101101011110111.........11110111110011100100011........101001001001101...............1111110011101100100110111111101..11100011001110010111101.......1000110110001..........	
cds-NP_416680.1           	-0.470 	0.144  	0.080  	......110111001..1010111001.............................1001100101000110010010010101.......1010011000100010101.........10001.....................10111.............111001...110001..........	
cds-NP_416681.1           	2.370  	0.000  	0.193  	.......10001110111001110111011011101....101001100100110011001.........101001............10101001111.................10011..101000101011...........11111.........110010101............10010111....10010001101001001...........10101100010100111011100100011011111110101.....11001....11101........101001011101...10001.................100011011......10011.101010101.........100010011001....1011101.............11011001010101001......1111001010110100011001........110011010001011010001.............101100111.....10011011........	
cds-NP_416682.4           	0.430  	0.020  	0.073  	11101111110110101....1000101011....10101001011.........10100100100100101..........110011...................100010110101................1010100110001..10111..........1010101.......1101101..........................1010010100011100100110001......101001010111000101001....10101......10001....1000111.............110101.........10001010101011000111001............................10001...110011..........................................1010111...........10001001010101001....10001..........11001......10101000110001........1100110011...........1000100110101111.........1011001.......1101010011101..............	
cds-NP_416683.1           	4.610  	0.000  	0.354  	1001110011111..11011010111101.....1000100101........................................11001000101...1000110111011010100011....110110001.101010110011111101.10100011....101100011110101..11101111111....11011.100110001001.11001001110101.110011001001011....11001000111...........111001100011111001...1101110001110111010010110100010001.111001111011011101100101011.........	
cds-NP_416684.1           	2.900  	0.000  	0.328  	.....................11011111111010110011.....11101000111.11001..................110001............................................1100111000101110111011001101100010011000101100011011001..11111110011...1111101011101101101100011....................1110011...11001011.11110010010010110101......100111.........1101001101011101111100010001......	
cds-NP_416685.1           	1.650  	0.059  	0.157  	100011010010101.....100110010101.................1001011011....1011000101....................10111.........100100011011010001........1101100101.....................11101011..............10101000110110010001010111100010110010001011....11000100011......100011.................11010010101.10001100110001110010101....................1011011.......................100010111..........1011011000101.............1101100101...................101000111.............1000100011011001.....10111100010110011001111..........10011......10001101.	
cds-NP_416686.1           	1.950  	0.044  	0.149  	100101011001...1010001..................1101011.......1011101000100101.101101.............10001010010101..........	
cds-NP_416687.1           	5.040  	0.000  	0.573  	........10111110110111.1010111....11000101......10100111010100111..10001....111000111....101010001001111011001......11100110011....10011011111001......11001111110101111110100110001111110001.......10100010010011....1101110001010011011....111101001....1011101011111110110001100100101100011101110011110011010110111010011011011....10111001.........10001010100110011010010001.11101011....111111.......	
cds-NP_416688.1           	0.090  	0.052  	0.052  	10100110001010001.........10100011................................................11111...10101.....................10001......100011101...........1000101..........11011....10101....100100110010001101....1001010001............10011	
cds-NP_416689.1           	1.320  	0.009  	0.102  	11101.......10001001..................111001001....11110010011......100101000110001........1110010010001001000101111001001.......10011001001...101101....10100011101010011......110011101.1011100011.........110101001............10001.........11001101......11110001.....11011..................111001....10111010110001....1011011.....10110011000101......111101.......................10111..10100011........1100100010011.........1010101001.............100100111....110001010001110100101.........1101011......1000101........100111..............................111001000110100011010001010001..	
cds-NP_416690.1           	-1.770 	0.181  	0.064  	11010001.............................10101.............1100110111....................1001011..	
cds-NP_416691.1           	2.100  	0.057  	0.090  	10101001010011......1011100011.....110110010011...............1000101..................10001001......1111101011010111101100100101000101............1100101001........110110001000100111011..............11001001.............1000110110001.....101001000100100101001.....1010001......1001001......1010100111000111...............10001........	
cds-NP_416692.1           	2.230  	0.200  	0.187  	...........100110011011........101111001100110001.......1000100010001......	
cds-NP_416693.1           	1.090  	0.009  	0.263  	.......100010011010011011011101110001111001...1000110110110010111100111111.10111....110110111....101111000110010101..1110111......100010111101.11111011100101001001.........100111101100011111......................................100011.......10101.100101001.....111101001010010001..........1010001.........11011101...110011.......11001....101011........110001100101..............11011001......1101101............10001......100010011001.....10001111.........................11101................110011001101...............................................100101...........10111011.........	
cds-gnl|b2190|CDS%3D2618  	0.370  	nan    	0.073  	......10110001011100011..10100010100010011100010111...............100101.....1000101101.....1011000101101........100011011.....................11101............10101......................1001010001000111............1010001....11011.................................1010001000101..............10011.....................11010001...........1000111......11000110101.....11011.........11100111..................10100011011001.......110100101.....................................1110001.................10111................................110100101011...............................1110001001000100100101000110001.............1000100101010001.......10011101..............100101001001......1100110100100010001..................10001011001101..1101001......10100010001.............1010101........1100010001.............10001.....1100010001...100010101...............11101	
cds-NP_416696.1           	0.940  	0.095  	0.047  	11111.....111000101...............1110010011.10011011...............1001101011001101....10001101001011001010001.....11010011....1000110010011...........1100011.........................10101000101.....100011........10010011.....................1001010111....................10101100010001...1011000101100010011.....10111010011....11001....	
cds-NP_416697.1           	1.670  	0.037  	0.172  	......101111....110001001101................101000101011110101001001001001....1000111101......11011...............111001........1100010011....................10110010001....1001101....1010100110010100010001111......	
cds-NP_416698.1           	1.380  	0.026  	0.177  	101110111111....100101101........1001000101.............11000100011011........110111001001101......10111111.110101001111..........................11111..1110111001011....1001011.........110001...........100101010001......10011110010101.........1000101........1010001..........1000110011......101101101001....100010010111011........1100010001001......	
cds-NP_416699.1           	0.990  	0.038  	0.162  	10001111.111110100011101...........100011......101001.....1100011.....1110110011........11001....10110101.......1011001...101011....110101011.........................110001..11001......	
cds-NP_416700.1           	4.220  	0.012  	0.471  	....1000111101010111011.................1101111101000111110011100101011.........111010001......1111111100101010110001.101100110110110101111111....10001........................11110110101010101001100010001001...10100111101011100010110101001111..........1110001100101......1001011101001011110011100011101001.......111101111110001111......1000100011....1110001111001111110011.1100010100101...11001101111.1011101.............1001111011001110111.11100011010110101011101101..............1011011000101010110101000101000101.....1010010101001001....1000100101............................10001000110010001....1010111..110111000111010011111...10001..........	
cds-NP_416701.1           	0.260  	0.176  	0.176  	........111010110010101011110100010111.................100010100111..........10101011.....101010011.........1110001.....1100011...........10001................	
cds-NP_416702.1           	1.490  	0.130  	0.290  	....10010011010010111110111011.1111110011....11001...................	
cds-NP_416703.1           	4.470  	0.020  	0.424  	1100100101...110110111.11010011110101110101..........10111101...11010110010100110111010100101001..10011011011........11001111000100011111111011011001...........1111101101.110101011001......10001.......101011011110001011010011111.....1100111.....	
cds-NP_416704.1           	3.170  	0.000  	0.391  	111101101010101.........11111111011.........11001...1111001100110100110001....1001111......111001100111001.......1101110101101011010111............1010101....11101111......................100110110011..............10101.	
cds-NP_416705.2           	0.980  	0.063  	0.126  	.................110010101..................11011001..............100100010001111.....10001001001011........11001....1001001............10100111...........1001010010010001........................100101......	
cds-NP_416706.1           	1.290  	0.070  	0.125  	.........110011011.....1010011110110011110010001.......1110100100011001100101.....10001............11001.....110011011............................1001001011.......10001..........110100010001..........	
cds-NP_416707.4           	-1.390 	0.215  	0.128  	.....100011010011011100011............................................100101......1101001001...................10001....11110101.......110001........	
cds-NP_416708.1           	2.630  	0.052  	0.348  	.......................11110011011110111...11011110001000111001.....1101001........101000111011101....1110111....10010011000101.........101111111110001000111011..101100011101....11110111101111000110011.10011011...............10011011011.......................1101001101100011010001......	
cds-NP_416709.1           	1.460  	0.087  	0.074  	.............110011.....1001010101......................100011010011001.1001010010001.....1110001.1011001.10011....10001001....1010111....1101001010111001..100010101....................1001001001111................1000101011.......	
cds-NP_416710.1           	-0.620 	0.030  	0.111  	...........................100011............101100010111.................1000101100111..............................101000101100010001...............1011001....110001...........110001101100101...1011001.....11110001001..111001.........101011001...................111101100111....100011000101......10101....................101001001100101.............10010011......110110101......11000111010110001......................10010001.............11000101........101001..........101110110001.............................1001000111....................110001.........11011010001.....................110111........................1011100011001011..........................................................11101............10111....11001....10001..10001...............................11011......................1100101...........10010101001	
cds-NP_416711.1           	2.070  	0.103  	0.253  	100010110111......10010001001..10101.......11111.......110010010010011010111...........	
cds-NP_416712.1           	2.380  	0.049  	0.030  	.........110001.................11001001001100100011................10111010001............10101010001101001010010001..10111...10011...1000110010010001.100100011...	
cds-YP_009518801.1        	2.200  	0.167  	0.278  	...............10001....100100010111101....11111101101	
cds-NP_416713.1           	2.000  	0.000  	0.117  	10011..111001..........................10001101........101011100010101010010001....10010101111001...1001101........110011....11010001.........10101011.....100011.	
cds-NP_416714.1           	1.550  	0.053  	0.106  	10010011101010100101.............11110001100010011001...101011001001.................110101........10100010100010100011000100011.....11001..10111....10110001001....1100101..............................100010100100011001.....101010001001.......10101001.......10001111.........................1000111.....1100010011..............100011..........100100011....11011..........110101001011011100111.....10010011............................110100011......10011...........11101100110001....100010011..100010001......101000110101..................1000100101	
cds-NP_416715.1           	3.420  	0.029  	0.318  	1011111100101.110110101....10101101100011............1101111110101000101001000111010001100110001001001....1100100010010101101..110011101....11111000111100111010110011110011001001......110010011..............11100111.....100011....10100101001111001011111000101....100010101111...11001001..1100010100100101..10001........1001010010101.........10101....11111.........101110011.....................1001100110011110011..........11001100101000101....110101.......1011101.....1111001.......1000110111.110010001101.........................................	
cds-NP_416716.1           	-0.570 	0.023  	0.088  	11011..............11100101.....11001001.....10011....101010100100101..........................10011................111001....................11010101..1101001.....100111.............111001..10001..10101010101.......	
cds-NP_416717.1           	0.290  	0.040  	0.045  	............10011.........11101................10001011......10001.................10010001011.....101001000101..1010011..........10001....10001.....1000110001...........................10101010010100111......110111......110010011.........11100010011001.................100011001001.10001010010001.....10010001....10111.10011.....10010101................	
cds-NP_416718.1           	0.360  	0.034  	0.131  	10101001011000111101.....................100110001..........100010001.....11001...................100010011000101.......10101..1101101.......................1001011......110001..111010010001....10011....100111010001...........10101.........1001101..........1001101....10011.......10001101011.........10001111.............101111......10011...100111....	
cds-NP_416719.1           	1.050  	0.052  	0.128  	1010110111.....................1011001001011...........110101.....100010010010101...........100101001010010010100010111010010011............................11011001010101...........10001..............100010101001010001.......................1000101....11100010001....100101......1001001010101.............10001....1101101000111000100110101011...............1101011101	
